ID,CARGO,Custo
1,3,0.6042039763216143
2,2,0.6443407800140697
3,14,0.757912033492905
4,4,0.41987841828383177
5,55,0.4087250829601414
6,5,0.931846141967365
7,56,0.5066927996431084
8,6,0.6951545015356635
9,57,0.5068884918240937
10,7,0.9620811242085756
11,70,0.3730711397539507
12,9,0.012033510063313945
13,10,0.31696630325492015
14,11,0.9062746036615706
15,58,0.5211582114239632
16,59,0.7242467442905921
17,60,0.6681058064206173
18,13,0.828838427068856
19,71,0.6794551397539507
20,28,0.6058599715173041
21,61,0.7247402765223657
22,17,0.7149130849504984
23,16,0.9471764586057206
24,18,0.31486693927695136
25,25,0.5215265330382114
26,62,0.012058666666666669
27,19,0.5333557516171651
28,20,0.7515531242085757
29,21,0.6695264182838317
30,22,0.5292116444124157
31,23,0.5010467053070469
32,63,0.6567618064206173
33,64,0.6091871166246289
34,24,0.5087831523824231
35,65,0.6681058064206173
36,73,0.5883059992793535
37,66,0.688706644429574
38,26,0.30023087400696624
39,27,0.645058584169798
40,67,0.6450899425884936
41,29,0.5112159194248554
42,69,0.3224766552392718
43,68,0.4748343145793655
44,30,0.4964242726102846
45,15,0.5816825015356635
46,8,0.7879110033115424
47,12,0.49882786637154475
48,72,0.6567618064206173
49,1,0.40439867359859993
50,74,0.5546338064206173

Custo Total,28.893105556184693,
